330 Ω Res Array,R4,0603_x4,C29718
10 kΩ Res Array,R5,0603_x4,C12018
0.1 µF,"C9, C10, C11, C12",0402-CAP,C1525
1 uF,"C7, C8",0603-CAP,C15849
16 MHz Crystal,Y1,SMD-5032_2P,C112572
0.1 µF,"C1, C3",0603-CAP,C14663
10 kΩ,"R1, R2, R3",R0603,C25804
18 pF,"C5, C6",0603-CAP,C1647
22 Ω,"R6, R7",R0603,C23345
Atmega 32U4,U1,QFN-44_7x7x05P,C45874
330 Ω,R8,R0603,C23138
47 µF,"C2, C4",1206,C96123
DRV8872DDAR Motor Driver,"MC1, MC2",HSOP-8,C114179
Green LED,LED3,LED-0805,C63855
100 µF Electrolytic ,"C13, C14","SMD,6.3x5.3mm",C134723
Red LED,"LED1, LED4, LED5",LED-0805,C72037
Yellow LED,LED2,LED-0805,C72036
