"Qty";"Value";"Device";"Package";"Parts";"Description";"DESCRIPTION";"DISTRIBUTOR";"DISTRIBUTOR_PART_NUMBER";"MANUFACTURER";"MANUFACTURER_PART_NUMBER";"NOTES";"PACKAGE";"PART_NO";"PIE-DIGIKEY-PN-ALT1";"PIE-DIGIKEY-PN-PRI";"PIE-INT-REF-NUM";"PROD_ID";"SF_ID";"VALUE";"VMAX";
"1";"";"CRYSTAL10.5X4.8";"CRYSTAL-SMD-10.5X4.8-2PIN";"Y1";"Various standard crystals. Proven footprints. Spark Fun Electronics SKU : COM-00534";"";"";"";"";"";"";"";"";"";"";"CRYSTAL";"";"";"";"";
"2";"";"M041X04-MTA";"1X04-MTA";"ENC1, ENC2";"4-pin 0.1-inch header and MTA connector";"";"";"";"";"";"";"";"";"";"";"MTA";"";"";"";"";
"4";".1uF";"CAP0603-CAP";"0603-CAP";"C19, C20, C25, C28";"Capacitor";"";"";"";"";"";"";"";"";"";"";"CAPACITOR-GENERIC";"";"";"";"";
"1";".1uF";"CAP0603-CAP";"0603-CAP";"C22";"Capacitor";"";"";"";"";"";"";"";"";"";"";"CAPACITOR-GENERIC";"";"";"";"16V";
"1";"10k";"4X-0603";"4X-0603";"R8";"330: https://www.digikey.com/product-detail/en/panasonic-electronic-components/EXB-38V331JV/Y9331CT-ND/256586";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"10k";"R-US_R0603";"R0603";"R1, R5";"RESISTOR, American symbol";"RESISTOR, American symbol";"DigiKey";"";"Rohm Semiconductor";"";"Cut Tape";"R0603";"";"";"";"";"";"";">VALUE";"";
"2";"10m";"R-US_R2512";"R2512";"R6, R7";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"RESISTOR-GENERIC";"";"";"";"";
"2";"18pF";"CAP0603-CAP";"0603-CAP";"C5, C6";"Capacitor";"";"";"";"";"";"";"";"";"";"";"CAPACITOR-GENERIC";"";"";"";"";
"4";"1uF";"CAP0603-CAP";"0603-CAP";"C1, C4, C18, C21";"Capacitor";"";"";"";"";"";"";"";"";"";"";"CAPACITOR-GENERIC";"";"";"";"";
"2";"22";"R-US_R0603";"R0603";"R2, R3";"RESISTOR, American symbol";"RESISTOR, American symbol";"DigiKey";"";"Rohm Semiconductor";"";"Cut Tape";"R0603";"";"";"";"";"";"";">VALUE";"";
"4";"220uF";"CAP_POLF80";"NIPPON_F80";"C23, C24, C26, C27";"Capacitor Polarized";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"330";"4X-0603";"4X-0603";"R4";"330: https://www.digikey.com/product-detail/en/panasonic-electronic-components/EXB-38V331JV/Y9331CT-ND/256586";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"47pF";"CAP0603-CAP";"0603-CAP";"C2, C3";"Capacitor";"";"";"";"";"";"";"";"";"";"";"CAPACITOR-GENERIC";"";"";"";"";
"3";"ANDERSONVERTICAL";"ANDERSONVERTICAL";"ANDERSON_VERTICAL";"CONN1, CONN2, CONN3";"2-pin 25A Anderson Connector";"";"";"";"";"";"";"";"";"";"";"Anderson";"";"";"";"";
"1";"ATMEGA32U4-AU";"ATMEGA32U4-AU";"TQFP44";"U2";"";"";"";"";"";"";"";"";"";"ATMEGA32U4-MURCT-ND";"ATMEGA32U4RC-MURCT-ND";"ATmega32U4";"";"";"";"";
"1";"AVR_SPI_PRG_6MA03-2";"AVR_SPI_PRG_6MA03-2";"MA03-2";"J1";"AVR ISP 6 Pin";"";"";"";"";"";"";"";"";"";"";"BULK-STOCK";"";"";"";"";
"1";"DRV8704";"DRV8704";"HTSSOP(38)";"U3";"";"";"";"";"";"";"";"";"DRV8704";"";"";"";"";"";"";"";
"1";"GREEN";"LED1206";"LED-1206";"LED3";"LEDs";"";"";"";"";"";"";"";"";"";"";"LED";"";"";"";"";
"8";"NMOS_CSD17579Q3A";"NMOS_CSD17579Q3A";"DNH0008A";"M1, M2, M3, M4, M5, M6, M7, M8";"";"";"";"";"";"";"";"";"CSD17579Q3A";"";"";"";"";"";"";"";
"1";"RED";"LED1206";"LED-1206";"LED1";"LEDs";"";"";"";"";"";"";"";"";"";"";"LED";"";"";"";"";
"1";"USB_B_PTH";"USB_B_PTH";"USB-B-PTH";"J2";"USB Type B Connector";"";"";"";"";"";"";"";"";"";"";"";"CONN-08278";"PRT-00139";"";"";
"1";"YELLOW";"LED1206";"LED-1206";"LED2";"LEDs";"";"";"";"";"";"";"";"";"";"";"LED";"";"";"";"";
