Comment,Designator,Footprint,LCSC Part # 
Red LED,LED1,LED_0805,C84256
Red LED,LED2,LED_0806,C84256
Red LED,LED3,LED_0807,C84256
Red LED,LED4,LED_0808,C84256
Red LED,LED5,LED_0809,C84256
TPS563200DDCR,U2,SOT-23-6L,C97253
.1uF Cap,C4,603,C14663
.1uF Cap,C8,603,C14663
100k Res,R6,603,C25803
10k Res,R1,603,C25804
10k Res,R2 ,603,C25804
10k Res,R8,603,C25804
10k Res,R11,603,C25804
10k Res,R12,603,C25804
10uF Cap,C5,805,C15850
10uF Cap,C6 ,805,C15850
200R Res,R18,603,C22962
200R Res,R19,603,C22962
200R Res,R20,603,C22962
200R Res,R21,603,C22962
200R Res,R22,603,C22962
200R Res,R23,603,C22962
200R Res,R24,603,C22962
200R Res,R25,603,C22962
200R Res,R26,603,C22962
200R Res,R27,603,C22962
18pF Cap,C12,603,C1647
18pF Cap,C13,603,C1647
1uF Cap,C2,603,C15849
1uF Cap,C10,603,C15849
1uF Cap,C15,603,C15849
1uF Cap,C16,603,C15849
2.2uF Cap,C1,603,C23630
2.2uF Cap,C3,603,C23630
2.2uF Cap,C17,603,C23630
330R Res,R13,603,C23138
330R Res,R14,603,C23138
330R Res,R15,603,C23138
330R Res,R16,603,C23138
330R Res,R17,603,C23138
22R Res,R28,603,C22962
22R Res,R29,603,C22962
22uF Cap,C9,603,C59461
22uF Cap,C18,603,C59461
22uF Cap,C19,603,C59461
3.3k Res,R3,603,C22978
3.3k Res,R4,603,C22978
3.3uH Ind,L1,603,C408336
499k Res,R5,603,C26751
56.2k Res,R10,603,C23080
5m Res,R7,2512,C49483
8MHz Crystal,Y1,SMD-5032_2P,C115962
atmega32u4 uP,U3,TQFP-44_10.0x10.0x0.8P,C44854
bq769209 bmic,U1,TSSOP-20_4.4x6.5x0.65P,C181647
NMOS,M1,VSONP-8_EP_3.2x3.3x0.65P,C201632
Schottkey Diode,D2,SOD-123FL,C191986
