Index,Quantity,Part Number,Manufacturer Part Number,Description,Customer Reference,Available,Backorder,Unit Price,Extended Price USD
1,2,XC1282CT-ND,ECS-160-20-5PX-TR,CRYSTAL 16.0000MHZ 20PF SMD,,2,0,0.3,0.6
2,2,ATMEGA32U4-AURCT-ND,ATMEGA32U4-AUR,IC MCU 8BIT 32KB FLASH 44TQFP,,2,0,4.08,8.16
3,4,1276-6455-1-ND,CL21A106KOQNNNG,CAP CER 10UF 16V X5R 0805,,4,0,0.15,0.6
4,30,A129678CT-ND,CRGCQ0603F150R,CRGCQ 0603 150R 1%,,30,0,0.031,0.93
5,10,311-1061-1-ND,CC0603JRNPO9BN180,CAP CER 18PF 50V C0G/NPO 0603,,10,0,0.042,0.42
6,10,1276-1182-1-ND,CL10A105KP8NNNC,CAP CER 1UF 10V X5R 0603,,10,0,0.036,0.36
7,4,1276-1040-1-ND,CL10A225KO8NNNC,CAP CER 2.2UF 16V X5R 0603,,4,0,0.12,0.48
8,2,445-6581-1-ND,VLP8040T-3R3N,FIXED IND 3.3UH 5.2A 20 MOHM SMD,,2,0,0.6,1.2
9,2,587-4280-1-ND,JMK212BBJ476MG-T,CAP CER 47UF 6.3V X5R 0805,,2,0,0.38,0.76
10,10,RMCF0603FT56K2CT-ND,RMCF0603FT56K2,RES 56.2K OHM 1% 1/10W 0603,,10,0,0.017,0.17
11,2,311-4092-1-ND,CC0603KRX7R8BB822,CAP CER 8200PF 25V X7R 0603,,2,0,0.1,0.2
12,5,S9337-ND,QPC02SXGN-RC,"CONN JUMPER SHORTING .100"" GOLD",,5,0,0.1,0.5
13,2,160-1067-ND,LTA-1000G,LED BAR GRAPH 10-SEGMENT GREEN,,2,0,1.4,2.8
14,2,296-39960-1-ND,BQ7692006PWR,IC BATT MGMT LI-ION AFE 20TSSOP,,2,0,2.88,5.76
15,2,MBR1020VLCT-ND,MBR1020VL,DIODE SCHOTTKY 20V 1A SOD123F,,2,0,0.41,0.82
16,2,CKN10650-ND,K12ABK15N,SWITCH PUSH SPST-NO 0.1A 30V,,2,0,2.37,4.74
17,4,497-6561-1-ND,STD20NF06T4,MOSFET N-CH 60V 24A DPAK,,4,0,0.83,3.32
18,2,ED2983-ND,USB-B1HSB6,CONN RCPT TYPEB 4POS R/A,,2,0,0.58,1.16
19,3,296-47371-1-ND,TPS563210ADDFR,IC REG BUCK ADJ 3A TSOT23-8,,3,0,1.65,4.95
