Comment,Designator,Footprint,JLCPCB Part #
TPS56C230RJER,U1,TPS56C230RJER,C1849534
110k,R1,R_0603_1608Metric,C728625
15k,R2,R_0603_1608Metric,C336845
100k,"R3, R6",R_0402_1005Metric,C25741 
200k,R4,R_0402_1005Metric,C25764 
33k,R5,R_0402_1005Metric,C25779 
51k,R7,R_0402_1005Metric,C25794 
1uF,C1,C_0805_2012Metric,C28323 
0.1uF,"C2, C5",C_1206_3216Metric,C24497
22uF,"C3, C4",C_1206_3216Metric,C12891 
47uF,"C6, C7, C8, C9",C_1206_3216Metric,C96123
1.8uH,L1,125CDMCCDS-1R8MC,C2453926 
,"U2,U3",anderson_horizontal,
