Designator,Mid X,Mid Y,Layer,Rotation
A1,68,-19.1134,top,0
A2,68,-29.1134,top,0
A3,68,-39.1134,top,0
A4,68,-49.1134,top,0
A5,68,-59.1134,top,0
B1,137.922,-48.514,top,0
Batt1,70.866,-99.568,top,180
C1,142.5448,-77.4446,top,90
C2,142.5448,-80.5942,top,-90
C3,142.5478,-74.295,top,90
C4,143.5608,-70.8914,top,180
C5,100.797288,-46.228,top,0
C6,100.695688,-53.8988,top,0
C7,136.7282,-70.612,top,0
C8,109.35,-21.954,top,0
C9,109.35,-24.454,top,0
C10,109.35,-26.954,top,0
C11,117.7,-30.3,top,90
C12,136.65,-35.1,top,90
C13,139.15,-35.1,top,90
C14,141.65,-35.1,top,90
C15,144.15,-35.1,top,90
C16,117.15,-37.9,top,-90
C17,111,-36.104,top,-90
D1,130.81,-96.266,top,0
DATA1,158,-87.498,top,90
F1,85.1408,-93.7768,top,90
J1,70.7136,-90.6272,top,-90
J2,147.955,-46.8834,top,0
J3,150.01,-92.45,top,90
Jst1,63.0936,-82.2706,top,0
L1,130.77,-24.75,top,0
Pro1,104.14,-87.122,top,90
Q1,120.3071,-76.9892,top,-90
R1,93.599,-95.505,top,90
R2,93.599,-84.582,top,-90
R3,93.599,-80.01,top,-90
R4,93.599,-92.393,top,90
R5,93.599,-87.757,top,90
R6,93.599,-76.898,top,90
R7,118.872,-86.487,top,90
R8,125.984,-86.487,top,-90
R9,120.523,-86.487,top,90
R10,127.635,-86.487,top,-90
R11,122.174,-86.487,top,90
R12,133.0198,-86.1822,top,90
R13,134.6454,-86.1822,top,90
R14,131.3942,-86.1822,top,-90
R15,130.4544,-70.612,top,0
R16,133.604,-70.612,top,0
R17,110.85,-32.454,top,0
R18,153.1254,-88.4936,top,0
R19,153.1,-86.487,top,0
R20,110.7,-28.654,top,180
R21,108.25,-28.654,top,180
R22,116.15,-77.85,top,90
R23,116.1,-34.404,top,180
R24,115.6,-36.054,top,-90
R25,116.25,-73.875,top,90
R26,114.5,-37.104,top,90
R27,112.95,-36.604,top,180
R28,70.05,-74.84,top,-90
REF**,152.9334,-102.0064,top,0
REF**,146.506399,-65.125425,top,0
REF**,102.158,-65.1256,top,0
REF**,81.6856,-36.6776,top,0
SW2,162.85,-100.85,top,0
SW3,61.29,-69.96,top,0
Sw1,91.6178,-53.34,top,90
U1,147.2692,-76.9874,top,0
U2,133.2738,-76.9366,top,0
U3,114.05,-32.05,top,-90
USB1,158,-27.498,top,90
USB2,158,-47.498,top,90
USB3,158,-67.498,top,90
Y1,142.2,-85.55,top,180
