Ref,Val,Package,PosX,PosY,Rot,Side
"C1",".1uF","C_0603_1608Metric",179.070000,-116.840000,-90.000000,top
"J1","USB_B","OST_USB-B1HSB6",170.840400,-125.044200,0.000000,top
"LED1","YEL","LED_D5.0mm",158.750000,-100.126800,180.000000,top
"LED2","BLU","LED_D5.0mm",168.910000,-100.126800,180.000000,top
"R1","145","R_0603_1608Metric",144.780000,-119.380000,-90.000000,top
"R2","90","R_0603_1608Metric",149.860000,-119.380000,-90.000000,top
"REF**","screw_hole_.125","screw_hole_.125",181.610000,-86.487000,0.000000,top
"REF**","screw_hole_.125","screw_hole_.125",143.510000,-86.487000,0.000000,top
"REF**","screw_hole_.125","screw_hole_.125",181.610000,-126.873000,0.000000,top
"REF**","screw_hole_.125","screw_hole_.125",143.510000,-126.873000,0.000000,top
"SW1","SW_SP3T","XKB Connectivity SS13D75L3",154.940000,-127.000000,0.000000,top
